,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11,717222.6108746119,741169.405248374,730198.7258849388,734048.1958003455,738131.4497761109,725851.3948327649,716256.3720657293,25115.142127487834,2417.154172755568,21323.61904062899,,22786.074388235505,718826.0077881016,738269.3423685806,745186.0967335915,733737.3604492308,729672.7659271049,745386.6303186996,731620.894439085,722698.112148742
12,715036.8110669154,738970.104728533,727839.1798563666,731817.0754634609,736059.2820682018,723691.5752129846,714012.0942796576,13151.613935429672,20608.338771769755,5519.747955000855,22786.074388235505,,713302.0651077228,732659.981765096,739418.7857318836,728285.7016227086,724163.453912628,739718.1939080016,726076.0695393732,716980.6923945551
13,1345275.9424794174,1367479.2802221738,1353484.5954636594,1360055.4347710062,1367497.525328497,1353967.9508809492,1343050.8431041301,707891.5246732094,717851.5327484456,711560.4880251773,718826.0077881016,713302.0651077228,,40751.496357618926,63529.61179835493,31672.865099552855,21811.41915167459,57063.06108745852,25747.84096439188,28993.05802584926
14,1361356.3028120152,1383475.3737999198,1369424.6421624979,1376056.1008150394,1383575.292092346,1370035.0685689978,1359101.806070572,727282.4347408502,737288.8998042842,730937.2706384049,738269.3423685806,732659.981765096,40751.496357618926,,27283.569372363945,24834.341611041586,22538.31774270823,16688.349431008246,16288.229705596834,35055.692044283576
15,1363684.4222226657,1385711.8293203565,1371603.1947346623,1378298.0929710863,1385898.5609310113,1372348.2444701798,1361398.815974739,734103.093993056,744194.5474611627,737731.0757802908,745186.0967335915,739418.7857318836,63529.61179835493,27283.569372363945,,51986.179082755516,49072.962447966616,14883.462256838982,42613.84217505182,45532.64307873394
16,1361111.455917585,1383313.3140933372,1369317.237335613,1375889.5608365054,1383333.0159727556,1369803.2805168843,1358885.9111420698,722848.376280564,732768.1656896092,726528.8332150864,733737.3604492308,728285.7016227086,31672.865099552855,24834.341611041586,51986.179082755516,,11731.542139615185,39515.02251606853,14280.537365033682,44747.657585280365
17,1355836.657130244,1378021.6385924325,1364014.3580562987,1370598.7513177393,1378057.8357907373,1364525.8397508932,1353605.115686108,718747.6363556792,728699.4069737892,722418.8963171093,729672.7659271049,724163.453912628,21811.41915167459,22538.31774270823,49072.962447966616,11731.542139615185,,39124.41397178959,6461.648654634,33465.62232738261
18,1366497.9103531167,1388572.3864527375,1374493.0510901005,1381155.7394639757,1388714.7989916478,1375169.4809339426,1364228.1806038024,734363.6490175758,744402.0432197722,738008.5540766084,745386.6303186996,739718.1939080016,57063.06108745852,16688.349431008246,14883.462256838982,39515.02251606853,39124.41397178959,,32961.51450332284,46001.419240000374
19,1356767.1742330596,1378931.508779164,1364910.4755730766,1371509.7180980805,1378987.7871082048,1365453.1207715676,1354528.381282292,720673.7246235,730645.0079469365,724339.215030562,731620.894439085,726076.0695393732,25747.84096439188,16288.229705596834,42613.84217505182,14280.537365033682,6461.648654634,32961.51450332284,,30985.297982737848
20,1343944.410272664,1366050.204782951,1351991.350712863,1358631.6748074002,1366162.8065337008,1352620.9871488765,1341685.2555523054,711644.8079763224,721709.9338646667,715281.5237540676,722698.112148742,716980.6923945551,28993.05802584926,35055.692044283576,45532.64307873394,44747.657585280365,33465.62232738261,46001.419240000374,30985.297982737848,
